experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13774-INFO-EMP-LINKEDIN-FR-1644139275.html;Conseil;NULL;Paris, FR;NULL;Confirmé;NULL;Talea S.r.l.;Technologies de l’information;NULL;NULL;Consultant(e) décisionnel(le) Microsoft BI;Temps plein
NULL;13568-INFO-EMP-LINKEDIN-FR-1608609400.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;SELESCOPE;Technologies de l’information;NULL;NULL;Data Scientist-Responsable Data Mining h/f;Temps plein
NULL;13775-INFO-EMP-LINKEDIN-FR-1640475631.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;TALEA consult;Ventes;NULL;NULL;Consultant Décisionnel Microsoft BI F/H;Temps plein
NULL;13776-INFO-EMP-LINKEDIN-FR-1497554899.html;Développement commercial;NULL;Lyon, FR;NULL;Non pertinent;NULL;Atos;Ventes;NULL;NULL;Consultant décisionnel / Big Data (H/F);Temps plein
NULL;13777-INFO-EMP-LINKEDIN-FR-1640423629.html;Développement commercial;NULL;Marseille, FR;NULL;Confirmé;NULL;Groupe Apsaroke;Ventes;NULL;NULL;Consultant Décisionnel F/H;Temps plein
NULL;13778-INFO-EMP-LINKEDIN-FR-1640448992.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;ciorane;Ventes;NULL;NULL;Consultant Décisionnel TALEND F/H;Temps plein
NULL;13779-INFO-EMP-LINKEDIN-FR-1640213488.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;aldecis;Ventes;NULL;NULL;Consultant décisionnel BI F/H;Temps plein
NULL;13780-INFO-EMP-LINKEDIN-FR-1640291833.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;SudOuest RH;Ventes;NULL;NULL;Consultant Décisionnel F/H;Temps plein
NULL;13781-INFO-EMP-LINKEDIN-FR-1640425189.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;AKKA Tech;Ventes;NULL;NULL;Consultant Décisionnel F/H;Temps plein
NULL;13782-INFO-EMP-LINKEDIN-FR-1564431808.html;Développement commercial;NULL;Lyon, FR;NULL;Confirmé;NULL;DeciVision;Ventes;NULL;NULL;Consultant décisionnel stagiaire H/F - Lyon;Temps plein
NULL;13783-INFO-EMP-LINKEDIN-FR-1645584561.html;Développement commercial;NULL;Paris, FR;NULL;Confirmé;NULL;Asigma;Ventes;NULL;NULL;Consultant Decisionnel SAS;Temps plein
NULL;13784-INFO-EMP-LINKEDIN-FR-1641913818.html;Développement commercial;NULL;Saint-Herblain, FR;NULL;Confirmé;NULL;KOBALTT;Ventes;NULL;NULL;Consultant Décisionnel Confirmé (H/F);Temps plein
NULL;13569-INFO-EMP-LINKEDIN-FR-1647106383.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Fédération hospitalière de France (FHF);Technologies de l’information;NULL;NULL;Data scientist f/h;Temps plein
